,road,km,type,name,length,condition,lat,lon,model_type
0,N1,462.254,source,source,0.0,A,20.8629167,92.298083,source
1,N1,460.113,RCC Girder Bridge,Yaknat Bridge,35.9,C,20.8809852229698,92.2977774,bridge
2,N1,459.866,Box Culvert,BUS STAND TEKNAF BOX CULVERT,1.5,C,20.8830704487341,92.2981629575949,bridge
3,N1,459.681,Box Culvert,BUS STAND TEKNAF BOX CULVERT,1.5,A,20.8845667240506,92.2987158890295,bridge
4,N1,458.799,RCC Girder Bridge,Eskahal Bridge,37.3,C,20.8901584525606,92.2957180800539,bridge
5,N1,458.213,RCC Girder Bridge,NAITOM PARA RCC GIDER BRIDGE,9.0,B,20.892271114035,92.2909840333333,bridge
6,N1,457.751,RCC Girder Bridge,Naitong Para (3 Bridge,9.0,A,20.8950896142857,92.2879523785714,bridge
7,N1,457.365,RCC Girder Bridge,NAITOM PARA RCC GIDER BRIDGE,15.1,B,20.8970988542857,92.2850607666666,bridge
8,N1,456.549,RCC Girder Bridge,NAITAN PARA RCC GIDER BRIDGE,23.0,B,20.9018849327974,92.2798735897106,bridge
9,N1,456.359,RCC Girder Bridge,BARIY TOLI RCC GIDER BRIDGE,6.1,B,20.9032027737864,92.2790446582524,bridge
10,N1,456.287,RCC Girder Bridge,BAROY TOLI RCC GIDER BRIDGE,8.3,C,20.9036912639175,92.2786932329896,bridge
11,N1,456.164,RCC Girder Bridge,BAROY TOLI RCC GIDER BRIDGE,17.5,C,20.9045718551546,92.2780768381443,bridge
12,N1,456.064,Slab Culvert,BARITOLI BOX CULVERT,2.8,A,20.9053051369863,92.2775738958904,bridge
13,N1,455.975,Slab Culvert,BORYTOLI SLAB CULVERT,2.8,A,20.9059771479674,92.2770855585365,bridge
14,N1,455.765,Slab Culvert,BORY TOLI SLAB CULVERT,2.8,A,20.9074479630252,92.2760590529411,bridge
15,N1,455.688,RCC Girder Bridge,Baroy toli (1 Bridge,29.3,C,20.908032127731,92.2756905852941,bridge
16,N1,455.496,RCC Girder Bridge,KARAN TOLI RCC GIDER BRIDGE,10.6,A,20.909456906278,92.2747873291479,bridge
17,N1,455.447,RCC Girder Bridge,KARUM TOLI RCC GIDER BRIDGE,10.6,A,20.909823120852,92.2745431860986,bridge
18,N1,455.366,RCC Girder Bridge,KARUMTOLI BRIDGE,23.7,C,20.9104284959641,92.2741396026905,bridge
19,N1,455.206,Slab Culvert,KARUM TOLI BOX CULVERT,1.3,A,20.9116242986547,92.2733424008968,bridge
20,N1,455.062,RCC Girder Bridge,KARUMTOLI,34.3,B,20.9126751559322,92.2727211220339,bridge
21,N1,454.769,Slab Culvert,KARUMTOLI (3BOX CULVERT,2.8,A,20.9146350810344,92.2712067017241,bridge
22,N1,454.673,Box Culvert,KAKUM TOLI CHACK BOX CULVERT,1.2,B,20.9153707224137,92.2707239706896,bridge
23,N1,454.498,RCC Girder Bridge,Sholo Bandar Teknaf Bridge,6.0,C,20.9167064980392,92.2698571431372,bridge
24,N1,454.33,RCC Girder Bridge,Karumtoli choto(1 Bridge,6.0,A,20.91799614,92.2691008942857,bridge
25,N1,454.219,Box Culvert,KARUNTON BOX CULVERT,1.2,A,20.9188881999999,92.26870765,bridge
26,N1,453.95,RCC Girder Bridge,Karumtoli Bridge,37.6,C,20.9209276456603,92.2674528079245,bridge
27,N1,453.372,Slab Culvert,DONMIA,2.7,D,20.9253890280839,92.2649451585301,bridge
28,N1,453.05,RCC Girder Bridge,DONOMIA,34.8,C,20.9281373875,92.264301196875,bridge
29,N1,452.793,Slab Culvert,DONDOMIA,2.7,A,20.9303996793814,92.2639787999999,bridge
30,N1,452.624,RCC Girder Bridge,DOMDO MIA,13.5,B,20.9318757724226,92.263712625,bridge
31,N1,452.561,RCC Girder Bridge,DOMDO MIA BRIDGE,13.5,B,20.9324260319587,92.2636134,bridge
32,N1,451.984,RCC Girder Bridge,DONDO MIA CHAK POST BRIDGE,51.0,B,20.93730526,92.26237497,bridge
33,N1,451.328,RCC Girder Bridge,DHANDO MIA,38.6,C,20.9427885228723,92.260596812234,bridge
34,N1,450.943,Box Culvert,DOMMO MIA BOX CULVERT,1.2,A,20.9458507925133,92.2603333,bridge
35,N1,450.759,Slab Culvert,DONDO MIA BOX CULVERT,2.7,A,20.9470947924242,92.2597883075757,bridge
36,N1,450.599,Box Culvert,DONDO MIA BOX CULVERT,1.5,A,20.9481536869565,92.2592633282608,bridge
37,N1,450.446,RCC Girder Bridge,DOMDO MIA BRIDGE,37.2,C,20.9491451322709,92.2584208880478,bridge
38,N1,449.7,RCC Girder Bridge,JADIMURA BRIDGE.,7.5,A,20.9549388422619,92.2555312529762,bridge
39,N1,449.439,Box Culvert,JADIMORH BOX CULVERT,1.2,A,20.9571000129411,92.2546526588235,bridge
40,N1,449.101,RCC Girder Bridge,Jadirghat Bridge,41.75,C,20.9599449953642,92.2537187390728,bridge
41,N1,448.926,RCC Girder Bridge,Noya Para Bridge,9.2,A,20.9614231446428,92.2532539928571,bridge
42,N1,448.581,Box Culvert,NOYA PARA BOX CULVERT(R,1.2,A,20.9641892820433,92.2518817702786,bridge
43,N1,448.581,Box Culvert,NOYA PARA (MUSJID BOX CULVERT(L,1.2,A,20.9641892820433,92.2518817702786,bridge
44,N1,448.481,Box Culvert,NOYA PARA CULVERT,1.2,A,20.9649678916913,92.2514288706231,bridge
45,N1,448.391,Box Culvert,NOYA PARA CULVERT,1.2,A,20.9655685949554,92.2508723928783,bridge
46,N1,448.054,RCC Girder Bridge,Mosinni Mor Bridge,8.8,B,20.967853415126,92.2489720949579,bridge
47,N1,447.893,Box Culvert,NAYA PARA BOX CULVERT,1.2,A,20.9691570827586,92.2486529011494,bridge
48,N1,447.401,RCC Girder Bridge,Noya Para Bridge,30.4,C,20.9732781770034,92.2493761152148,bridge
49,N1,447.084,Slab Culvert,NAYAPARA BOX CULVERT,2.8,A,20.9759372216027,92.2499898655052,bridge
50,N1,446.71,RCC Girder Bridge,LADAPARA RCC GIDER BRIDGE,36.6,C,20.9790279773542,92.2512228468609,bridge
51,N1,446.435,Box Culvert,LADA BAZAR BOX CULVERT,1.2,C,20.9813317189461,92.2521134830717,bridge
