,Unnamed: 0,road,km,type,name,length,condition,lat,lon,model_type,id
0,0.0,N1,462.254,source,source,0.0,A,20.8629167,92.298083,source,0
1,,N1,461.1835,link,link,2159.0,A,20.8719509614849,92.2979302,link,1
2,1.0,N1,460.113,RCC Girder Bridge,Yaknat Bridge,35.9,C,20.8809852229698,92.2977774,bridge,2
3,,N1,459.9895,link,link,266.0,A,20.88202783585195,92.29797017879744,link,3
4,2.0,N1,459.866,Box Culvert,BUS STAND TEKNAF BOX CULVERT,1.5,C,20.8830704487341,92.2981629575949,bridge,4
5,,N1,459.7735,link,link,186.0,A,20.88381858639235,92.2984394233122,link,5
6,3.0,N1,459.681,Box Culvert,BUS STAND TEKNAF BOX CULVERT,1.5,A,20.8845667240506,92.2987158890295,bridge,6
7,,N1,459.24,link,link,901.0,A,20.8873625883056,92.2972169845417,link,7
8,4.0,N1,458.799,RCC Girder Bridge,Eskahal Bridge,37.3,C,20.8901584525606,92.2957180800539,bridge,8
9,,N1,458.506,link,link,609.0,A,20.891214783297798,92.29335105669361,link,9
10,5.0,N1,458.213,RCC Girder Bridge,NAITOM PARA RCC GIDER BRIDGE,9.0,B,20.892271114035,92.2909840333333,bridge,10
11,,N1,457.98199999999997,link,link,471.0,A,20.89368036416035,92.28946820595235,link,11
12,6.0,N1,457.751,RCC Girder Bridge,Naitong Para (3 Bridge,9.0,A,20.8950896142857,92.2879523785714,bridge,12
13,,N1,457.558,link,link,398.0,A,20.896094234285698,92.286506572619,link,13
14,7.0,N1,457.365,RCC Girder Bridge,NAITOM PARA RCC GIDER BRIDGE,15.1,B,20.8970988542857,92.2850607666666,bridge,14
15,,N1,456.957,link,link,835.0,A,20.89949189354155,92.2824671781886,link,15
16,8.0,N1,456.549,RCC Girder Bridge,NAITAN PARA RCC GIDER BRIDGE,23.0,B,20.9018849327974,92.2798735897106,bridge,16
17,,N1,456.45399999999995,link,link,205.0,A,20.902543853291903,92.2794591239815,link,17
18,9.0,N1,456.359,RCC Girder Bridge,BARIY TOLI RCC GIDER BRIDGE,6.1,B,20.9032027737864,92.2790446582524,bridge,18
19,,N1,456.323,link,link,79.0,A,20.90344701885195,92.278868945621,link,19
20,10.0,N1,456.287,RCC Girder Bridge,BAROY TOLI RCC GIDER BRIDGE,8.3,C,20.9036912639175,92.2786932329896,bridge,20
21,,N1,456.2255,link,link,136.0,A,20.90413155953605,92.27838503556694,link,21
22,11.0,N1,456.164,RCC Girder Bridge,BAROY TOLI RCC GIDER BRIDGE,17.5,C,20.9045718551546,92.2780768381443,bridge,22
23,,N1,456.11400000000003,link,link,110.0,A,20.90493849607045,92.27782536701736,link,23
24,12.0,N1,456.064,Slab Culvert,BARITOLI BOX CULVERT,2.8,A,20.9053051369863,92.2775738958904,bridge,24
25,,N1,456.0195,link,link,92.0,A,20.90564114247685,92.27732972721344,link,25
26,13.0,N1,455.975,Slab Culvert,BORYTOLI SLAB CULVERT,2.8,A,20.9059771479674,92.2770855585365,bridge,26
27,,N1,455.87,link,link,213.0,A,20.9067125554963,92.2765723057388,link,27
28,14.0,N1,455.765,Slab Culvert,BORY TOLI SLAB CULVERT,2.8,A,20.9074479630252,92.2760590529411,bridge,28
29,,N1,455.7265,link,link,93.0,A,20.907740045378098,92.2758748191176,link,29
30,15.0,N1,455.688,RCC Girder Bridge,Baroy toli (1 Bridge,29.3,C,20.908032127731,92.2756905852941,bridge,30
31,,N1,455.592,link,link,212.0,A,20.9087445170045,92.275238957221,link,31
32,16.0,N1,455.496,RCC Girder Bridge,KARAN TOLI RCC GIDER BRIDGE,10.6,A,20.909456906278,92.2747873291479,bridge,32
33,,N1,455.4715,link,link,60.0,A,20.909640013565,92.27466525762324,link,33
34,17.0,N1,455.447,RCC Girder Bridge,KARUM TOLI RCC GIDER BRIDGE,10.6,A,20.909823120852,92.2745431860986,bridge,34
35,,N1,455.4065,link,link,98.0,A,20.91012580840805,92.27434139439455,link,35
36,18.0,N1,455.366,RCC Girder Bridge,KARUMTOLI BRIDGE,23.7,C,20.9104284959641,92.2741396026905,bridge,36
37,,N1,455.286,link,link,172.0,A,20.9110263973094,92.27374100179364,link,37
38,19.0,N1,455.206,Slab Culvert,KARUM TOLI BOX CULVERT,1.3,A,20.9116242986547,92.2733424008968,bridge,38
39,,N1,455.134,link,link,162.0,A,20.91214972729345,92.27303176146535,link,39
40,20.0,N1,455.062,RCC Girder Bridge,KARUMTOLI,34.3,B,20.9126751559322,92.2727211220339,bridge,40
41,,N1,454.9155,link,link,312.0,A,20.913655118483298,92.271963911879,link,41
42,21.0,N1,454.769,Slab Culvert,KARUMTOLI (3BOX CULVERT,2.8,A,20.9146350810344,92.2712067017241,bridge,42
43,,N1,454.721,link,link,98.0,A,20.91500290172405,92.27096533620684,link,43
44,22.0,N1,454.673,Box Culvert,KAKUM TOLI CHACK BOX CULVERT,1.2,B,20.9153707224137,92.2707239706896,bridge,44
45,,N1,454.5855,link,link,179.0,A,20.91603861022645,92.27029055691341,link,45
46,23.0,N1,454.498,RCC Girder Bridge,Sholo Bandar Teknaf Bridge,6.0,C,20.9167064980392,92.2698571431372,bridge,46
47,,N1,454.414,link,link,174.0,A,20.917351319019602,92.26947901871145,link,47
48,24.0,N1,454.33,RCC Girder Bridge,Karumtoli choto(1 Bridge,6.0,A,20.91799614,92.2691008942857,bridge,48
49,,N1,454.2745,link,link,115.0,A,20.91844216999995,92.26890427214285,link,49
50,25.0,N1,454.219,Box Culvert,KARUNTON BOX CULVERT,1.2,A,20.9188881999999,92.26870765,bridge,50
51,,N1,454.0845,link,link,288.0,A,20.9199079228301,92.26808022896225,link,51
52,26.0,N1,453.95,RCC Girder Bridge,Karumtoli Bridge,37.6,C,20.9209276456603,92.2674528079245,bridge,52
53,,N1,453.661,link,link,598.0,A,20.9231583368721,92.2661989832273,link,53
54,27.0,N1,453.372,Slab Culvert,DONMIA,2.7,D,20.9253890280839,92.2649451585301,bridge,54
55,,N1,453.211,link,link,341.0,A,20.92676320779195,92.26462317770255,link,55
56,28.0,N1,453.05,RCC Girder Bridge,DONOMIA,34.8,C,20.9281373875,92.264301196875,bridge,56
57,,N1,452.92150000000004,link,link,276.0,A,20.9292685334407,92.26413999843746,link,57
58,29.0,N1,452.793,Slab Culvert,DONDOMIA,2.7,A,20.9303996793814,92.2639787999999,bridge,58
59,,N1,452.7085,link,link,177.0,A,20.931137725901998,92.26384571249994,link,59
60,30.0,N1,452.624,RCC Girder Bridge,DOMDO MIA,13.5,B,20.9318757724226,92.263712625,bridge,60
61,,N1,452.5925,link,link,76.0,A,20.93215090219065,92.26366301249999,link,61
62,31.0,N1,452.561,RCC Girder Bridge,DOMDO MIA BRIDGE,13.5,B,20.9324260319587,92.2636134,bridge,62
63,,N1,452.2725,link,link,609.0,A,20.93486564597935,92.262994185,link,63
64,32.0,N1,451.984,RCC Girder Bridge,DONDO MIA CHAK POST BRIDGE,51.0,B,20.93730526,92.26237497,bridge,64
65,,N1,451.65599999999995,link,link,701.0,A,20.940046891436147,92.26148589111699,link,65
66,33.0,N1,451.328,RCC Girder Bridge,DHANDO MIA,38.6,C,20.9427885228723,92.260596812234,bridge,66
67,,N1,451.1355,link,link,405.0,A,20.9443196576928,92.260465056117,link,67
68,34.0,N1,450.943,Box Culvert,DOMMO MIA BOX CULVERT,1.2,A,20.9458507925133,92.2603333,bridge,68
69,,N1,450.851,link,link,186.0,A,20.94647279246875,92.26006080378785,link,69
70,35.0,N1,450.759,Slab Culvert,DONDO MIA BOX CULVERT,2.7,A,20.9470947924242,92.2597883075757,bridge,70
71,,N1,450.679,link,link,162.0,A,20.94762423969035,92.25952581791825,link,71
72,36.0,N1,450.599,Box Culvert,DONDO MIA BOX CULVERT,1.5,A,20.9481536869565,92.2592633282608,bridge,72
73,,N1,450.52250000000004,link,link,172.0,A,20.9486494096137,92.2588421081543,link,73
74,37.0,N1,450.446,RCC Girder Bridge,DOMDO MIA BRIDGE,37.2,C,20.9491451322709,92.2584208880478,bridge,74
75,,N1,450.073,link,link,768.0,A,20.952041987266398,92.256976070512,link,75
76,38.0,N1,449.7,RCC Girder Bridge,JADIMURA BRIDGE.,7.5,A,20.9549388422619,92.2555312529762,bridge,76
77,,N1,449.5695,link,link,265.0,A,20.9560194276015,92.25509195589984,link,77
78,39.0,N1,449.439,Box Culvert,JADIMORH BOX CULVERT,1.2,A,20.9571000129411,92.2546526588235,bridge,78
79,,N1,449.27,link,link,359.0,A,20.95852250415265,92.25418569894815,link,79
80,40.0,N1,449.101,RCC Girder Bridge,Jadirghat Bridge,41.75,C,20.9599449953642,92.2537187390728,bridge,80
81,,N1,449.0135,link,link,200.0,A,20.960684070003502,92.25348636596495,link,81
82,41.0,N1,448.926,RCC Girder Bridge,Noya Para Bridge,9.2,A,20.9614231446428,92.2532539928571,bridge,82
83,,N1,448.75350000000003,link,link,350.0,A,20.96280621334305,92.25256788156784,link,83
84,42.0,N1,448.581,Box Culvert,NOYA PARA BOX CULVERT(R,1.2,A,20.9641892820433,92.2518817702786,bridge,84
85,43.0,N1,448.581,Box Culvert,NOYA PARA (MUSJID BOX CULVERT(L,1.2,A,20.9641892820433,92.2518817702786,bridge,85
86,,N1,448.531,link,link,101.0,A,20.964578586867297,92.25165532045085,link,86
87,44.0,N1,448.481,Box Culvert,NOYA PARA CULVERT,1.2,A,20.9649678916913,92.2514288706231,bridge,87
88,,N1,448.43600000000004,link,link,91.0,A,20.96526824332335,92.2511506317507,link,88
89,45.0,N1,448.391,Box Culvert,NOYA PARA CULVERT,1.2,A,20.9655685949554,92.2508723928783,bridge,89
90,,N1,448.22249999999997,link,link,342.0,A,20.9667110050407,92.2499222439181,link,90
91,46.0,N1,448.054,RCC Girder Bridge,Mosinni Mor Bridge,8.8,B,20.967853415126,92.2489720949579,bridge,91
92,,N1,447.97349999999994,link,link,166.0,A,20.9685052489423,92.24881249805365,link,92
93,47.0,N1,447.893,Box Culvert,NAYA PARA BOX CULVERT,1.2,A,20.9691570827586,92.2486529011494,bridge,93
94,,N1,447.647,link,link,508.0,A,20.971217629881,92.2490145081821,link,94
95,48.0,N1,447.401,RCC Girder Bridge,Noya Para Bridge,30.4,C,20.9732781770034,92.2493761152148,bridge,95
96,,N1,447.2425,link,link,334.0,A,20.97460769930305,92.24968299036,link,96
97,49.0,N1,447.084,Slab Culvert,NAYAPARA BOX CULVERT,2.8,A,20.9759372216027,92.2499898655052,bridge,97
98,,N1,446.897,link,link,394.0,A,20.97748259947845,92.25060635618306,link,98
99,50.0,N1,446.71,RCC Girder Bridge,LADAPARA RCC GIDER BRIDGE,36.6,C,20.9790279773542,92.2512228468609,bridge,99
100,,N1,446.5725,link,link,294.0,A,20.98017984815015,92.2516681649663,link,100
101,51.0,N1,446.435,Box Culvert,LADA BAZAR BOX CULVERT,1.2,C,20.9813317189461,92.2521134830717,bridge,101
102,,N1,445.9565,link,link,973.0,A,20.98534499073985,92.2533423579105,link,102
103,52.0,N1,445.478,RCC Girder Bridge,Ala Khali Kuna Para Bridge,29.9,C,20.9893582625336,92.2545712327493,bridge,103
104,,N1,444.8965,link,link,1184.0,A,20.9943820795814,92.25414632963304,link,104
105,53.0,N1,444.315,RCC Girder Bridge,Rongi-Khali Bridge,12.5,C,20.9994058966292,92.2537214265168,bridge,105
106,,N1,443.9395,link,link,759.0,A,21.002615596427802,92.2530006327159,link,106
107,54.0,N1,443.564,Slab Culvert,RONGI HALI BOX CULVERT,2.8,B,21.0058252962264,92.252279838915,bridge,107
108,,N1,443.294,link,link,564.0,A,21.0077969715309,92.25090878148279,link,108
109,55.0,N1,443.024,RCC Girder Bridge,Chowdhory Para Bridge,45.6,C,21.0097686468354,92.2495377240506,bridge,109
110,,N1,442.5925,link,link,887.0,A,21.0128488406052,92.2471472120253,link,110
111,56.0,N1,442.161,Slab Culvert,NAT MURA PARA BOX CULVERT,1.9,A,21.015929034375,92.2447567,bridge,111
112,,N1,442.0675,link,link,189.0,A,21.016635395206798,92.2442975881642,link,112
113,57.0,N1,441.974,Slab Culvert,NILA DOGA PARA BOX CULVERT,2.8,A,21.0173417560386,92.2438384763284,bridge,113
114,,N1,441.82,link,link,311.0,A,21.018575251573,92.24332625200715,link,114
