,step,avg_delay,avg_driving_time,conditionA,conditionB,conditionC,conditionD,conditionX
0,0,0.0,0,370,120,129,15,0
1,1,3.052159783304514,0,336,102,114,14,68
2,2,5.542222169925885,0,302,92,108,11,121
3,3,7.268043476236659,0,277,86,102,10,159
4,4,9.214833695678736,0,247,78,90,9,210
5,5,10.892905880780686,0,220,68,83,8,255
6,6,12.258404166014692,0,197,61,76,7,293
7,7,13.637317784197405,0,177,54,70,7,326
8,8,14.477556152540584,0,164,48,63,6,353
9,9,15.32948174309527,0,150,42,58,5,379
10,10,16.197159686378143,0,134,39,55,5,401
11,11,17.733670324574675,0,115,33,51,5,430
12,12,18.516327279990875,0,104,29,47,4,450
13,13,19.246508186732495,0,95,26,42,2,469
14,14,19.826555202703897,0,87,23,41,2,481
15,15,20.087040596389592,0,79,22,40,2,491
16,16,20.638763100767857,0,72,20,34,1,507
17,17,21.22093407177267,0,65,18,30,1,520
18,18,21.39949686019796,0,60,17,30,1,526
19,19,21.848077814653212,0,50,16,28,1,539
20,20,22.243572792622853,0,43,16,27,1,547
21,21,22.785270849704567,0,38,15,24,1,556
22,22,23.425260275586155,0,34,13,19,1,567
23,23,23.887651634318402,0,31,11,16,0,576
24,24,24.07115047300658,0,28,10,15,0,581
25,25,24.28543544161008,0,24,9,14,0,587
26,26,24.424254821764187,0,22,7,12,0,593
27,27,24.56478545234845,0,19,7,12,0,596
28,28,24.783361140406406,0,15,7,11,0,601
29,29,24.824113973569677,0,13,7,11,0,603
30,30,24.96749928396821,0,12,6,11,0,605
31,31,25.107055560760934,0,11,6,9,0,608
32,32,25.162147240679325,0,11,5,8,0,610
33,33,25.183117843818447,0,11,5,7,0,611
34,34,25.220863675461892,0,10,5,7,0,612
35,35,25.239275992154617,0,9,5,7,0,613
36,36,25.475837360481652,0,8,4,6,0,616
37,37,25.616947110761863,0,7,2,5,0,620
38,38,25.698186967048805,0,6,2,4,0,622
39,39,25.742513978171235,0,6,2,3,0,623
40,40,25.7657969560385,0,5,2,3,0,624
