,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
1,0,0,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.477619559943985,513.1712789827973
2,1,1,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
3,1,1,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.4434105634323644,514.3071748878924
4,2,2,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
5,2,2,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.48317427647572136,513.7264573991031
6,3,3,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
7,3,3,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.6292984325149936,513.7125748502993
8,4,4,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
9,4,4,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.4854908036933125,514.5920658682635
10,5,5,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
11,5,5,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.6437280834739982,513.9985041136873
12,6,6,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
13,6,6,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.5597829132784217,513.4674644727
14,7,7,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
15,7,7,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.5037903457161366,513.6118175018698
16,8,8,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
17,8,8,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.5889558326277834,514.311377245509
18,9,9,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0,0.0,0.0
19,9,9,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",7200,0.593526643852739,514.7600896860987
